profile,split,prefix_ratio,concurrency,isl,osl,turns,mean_ttft_ms,p99_ttft_ms,mean_itl_ms,p99_itl_ms,std_itl_ms,mean_e2e_latency_ms,p99_e2e_latency_ms,output_throughput_tok_s,request_throughput_rps,prefix_cache_reused_ratio,completed_requests,wall_time_ms
rag,agg_4w,0.9,8,4096,512,1,36.96339224000192,98.943134,5.999778929550379,6.022791000003053,0.015017294676554526,3102.850425240006,3164.830167000009,1320.076522761542,2.578274458518637,0.888125,200,43.794542
rag,agg_4w,0.9,32,4096,512,1,83.1354669999996,144.96971800000003,6.197712225516179,6.29763500000081,0.07127388742518007,3250.166414240048,3316.2149949999953,4523.219723859493,8.834413523163072,0.888125,200,30.734834
rag,agg_4w,0.9,128,4096,512,1,190.30278085000128,394.749418,7.248695095780286,7.562351999999919,4.089380814784063,3894.3859747949937,4137.24054799998,13207.84083595042,25.796564132715663,0.888125,200,28.506415999999998
rag,3p_1d,0.2,8,4096,512,1,87.03114163000852,182.76012500000002,7.206020050145618,7.316251000000193,0.11174467413490237,3769.307387254933,3870.996502000032,1085.6742058414775,2.1204574332841357,0.202109375,200,80.412792
rag,3p_1d,0.2,32,4096,512,1,171.50187604000013,775.9956180000013,11.076850596608661,11.613204000001133,0.8385938739910072,5831.772530904971,6515.6805959999865,2620.5761818799256,5.11831285523423,0.202109375,200,80.77574999999999
rag,3p_1d,0.2,128,4096,512,1,1087.5040559600018,2954.946638000002,21.335523487985846,24.80992200000037,3.9265000457983503,11989.95655832003,15204.164231999983,4541.671597111693,8.870452338108775,0.202109375,200,100.977541
rag,3p_1d,0.6,8,4096,512,1,56.59444720500213,160.63460299999994,6.654244412219332,6.7527030000055674,0.07042717933301257,3456.913341849917,3563.701414000011,1183.8818368456427,2.312269212589146,0.59078125,200,65.542708
rag,3p_1d,0.6,32,4096,512,1,126.95877121000024,469.9649160000003,8.848987580332022,9.314888000000792,0.505346582537294,4648.791424759989,5035.216659999993,3255.6425702142446,6.358676894949697,0.59078125,200,94.047958
rag,3p_1d,0.6,128,4096,512,1,630.5564169449995,1566.8837049999993,15.321760047386382,18.072712999999567,2.467175212998782,8459.975801160004,10266.149407999992,6371.644678666467,12.444618513020444,0.59078125,200,54.123959
rag,3p_1d,0.9,8,4096,512,1,35.023691804999885,111.01489099999999,6.204376843432663,6.297635000002629,0.05938913710329909,3205.4602588000207,3282.1687959999945,1276.987003548804,2.494115241306258,0.90171875,200,54.667208
rag,3p_1d,0.9,32,4096,512,1,72.28731194499964,205.6663029999999,6.982364607033616,7.383482000001095,0.27843174167530826,3640.27562614007,3790.0132589999976,4079.1390420981147,7.96706844159788,0.90171875,200,47.703833
rag,3p_1d,0.9,128,4096,512,1,218.57669034000025,458.0277819999998,9.466081048503902,11.510360999999648,1.1422389465751615,5055.744106125011,5632.410623999993,10455.610935044355,20.421115107508506,0.90171875,200,45.110708
rag,2p_2d,0.2,8,4096,512,1,145.4905649400042,298.0973669999999,6.494081059685991,6.554885000005015,0.07780981231828756,3463.9659864399464,3617.55967400001,1181.5336195955294,2.3076828507725184,0.202109375,200,80.043291
rag,2p_2d,0.2,32,4096,512,1,234.70641464000312,1113.2992439999985,8.460367515108754,8.763338999999178,0.4427898722959868,4557.954214860033,5485.117006000009,3330.8984379009803,6.505661011525352,0.202109375,200,74.350251
rag,2p_2d,0.2,128,4096,512,1,1537.535083670001,4426.043208000003,14.151529747650521,16.37513299999955,2.553673945668467,8768.966784719993,12454.009073999985,6259.009075705097,12.224627100986517,0.202109375,200,94.12066700000001
rag,2p_2d,0.6,8,4096,512,1,112.36645349999628,175.258023,6.262705426574549,6.310689000005368,0.03684741627561381,3312.6089264801744,3376.145481999972,1235.9524428351922,2.4139696149124847,0.59078125,200,71.737333
rag,2p_2d,0.6,32,4096,512,1,187.229845280002,645.8495700000001,7.358385905910498,7.600603000000774,0.27084564122639865,3947.3650432000477,4429.667513999994,3786.093239243599,7.394713357897654,0.59078125,200,61.253750000000004
rag,2p_2d,0.6,128,4096,512,1,859.1301959150001,2334.333548000002,10.76064037034346,12.248478999999861,1.4016789116912691,6357.81742516,8296.56657000001,8474.312302445767,16.55139121571439,0.59078125,200,55.744292
rag,2p_2d,0.9,8,4096,512,1,49.50461843999987,113.788725,6.068594356163665,6.114556000000448,0.029997914434316805,3150.556334439894,3214.8404409999957,1300.0878464622615,2.5392340751216045,0.90171875,200,63.36770799999999
rag,2p_2d,0.9,32,4096,512,1,77.78155459000071,233.44938900000002,6.45778552402153,6.6619900000005146,0.1397969463522673,3377.7099573650457,3542.130014,4375.801066048203,8.546486457125397,0.90171875,200,101.91341700000001
rag,2p_2d,0.9,128,4096,512,1,276.94604758000037,605.0821629999995,7.718555204245374,8.738406999999825,0.5824055172179309,4221.12775695,4725.814803,12446.699678165742,24.309960308917464,0.90171875,200,107.939167
rag,1p_3d,0.2,8,4096,512,1,109.33761106504096,517.097993,6.272379012487337,6.362874999998894,0.08915729958808688,3314.523286445106,3737.2928219999967,1229.1297432675713,2.400644029819475,0.202109375,200,222.62045899999998
rag,1p_3d,0.2,32,4096,512,1,291.4912965550003,2181.4884849999958,7.580615368553767,7.810489999999845,0.2866515365918464,4165.185749885,6102.911542999987,3649.56049974868,7.12804785107164,0.202109375,200,140.214291
rag,1p_3d,0.2,128,4096,512,1,4312.277699874996,8637.789620999994,9.47089264177315,10.354538999999932,0.9605940866206566,9151.903839819986,13843.350113999977,5764.050169906088,11.257910488097828,0.202109375,200,117.062583
rag,1p_3d,0.6,8,4096,512,1,69.13549455498138,336.01244899999995,6.136500998124476,6.199632000003476,0.049979916020231815,3204.8875045951318,3484.052712999983,1274.9382172135777,2.490113705495269,0.59078125,200,126.77187500000001
rag,1p_3d,0.6,32,4096,512,1,195.36656411999917,1159.269879,6.867065906907071,7.040041000000201,0.1700746459033928,3704.437242549971,4691.469544000001,4059.353899813688,7.928425585573609,0.59078125,200,107.92254199999999
rag,1p_3d,0.6,128,4096,512,1,1588.9186044050014,4410.0464290000045,9.014164519577768,10.027678000000378,1.0109549589744713,6195.156673909995,9329.282923999996,8793.93983272403,17.175663735789122,0.59078125,200,120.85583299999999
rag,1p_3d,0.9,8,4096,512,1,39.5593747200055,144.87134600000002,6.024988191450027,6.068692000000738,0.025179583867409813,3118.3283405499037,3228.346269999995,1311.6459403551064,2.561808477256067,0.90171875,200,118.21654199999999
rag,1p_3d,0.9,32,4096,512,1,95.02711433999892,353.1425150000002,6.282101311751525,6.434549999999945,0.0922313325248902,3305.180884645009,3574.5701289999934,4469.0874726524435,8.728686470024304,0.90171875,200,62.361917000000005
rag,1p_3d,0.9,128,4096,512,1,440.74717933,1117.1216089999996,7.116515008660049,7.74379799999997,0.3799440649818179,4077.2863487550057,4876.962697000014,12847.826599822201,25.093411327777737,0.90171875,200,76.08375000000001
agentic,agg_4w,0.2,8,8000,128,4,138.44757717499834,137.40291700000125,7.512095517513506,6.489872000005562,11.540524644643089,1092.4837079001081,1092.1133220003685,937.2873368171546,7.32255731888402,0.199,800,550.161875
agentic,agg_4w,0.2,32,8000,128,4,165.1068273800004,880.4165840000001,15.469836921336372,139.35468799999944,29.638853392640883,2129.77611639002,2721.525561000008,1922.3453332743625,15.018322916205957,0.199,800,368.329041
agentic,agg_4w,0.2,128,8000,128,4,593.2185239499994,4309.373629000001,44.08351528397458,183.91836400000102,60.17847322074449,6191.824965014982,10202.559560999996,2595.472852605612,20.277131660981343,0.199,800,329.975417
agentic,agg_4w,0.6,8,8000,128,4,77.07559170500215,75.71993500000099,6.867255466566649,6.327003000000332,6.116775701084543,949.2170359598546,948.2246470000125,1078.7488544047817,8.427725425037357,0.597,800,173.027
agentic,agg_4w,0.6,32,8000,128,4,139.89645805999947,527.109233,10.499336444817077,138.23259899999903,18.83802467614365,1473.3121865500057,1776.6603690000074,2779.1565719802993,21.71216071859609,0.597,800,281.447542
agentic,agg_4w,0.6,128,8000,128,4,377.9903357562499,2258.258485,24.973332822148397,179.56089599999905,43.6469848324124,3549.6036041662383,5530.7457899999945,4446.327539034639,34.736933898708116,0.597,800,198.91745899999998
agentic,agg_4w,0.9,8,8000,128,4,36.17016281500218,34.606979000003776,6.422033664291058,6.2029010000005655,2.5031570891181443,851.7684381799658,850.3609880000713,1202.1612270506243,9.391884586333003,0.89948,800,104.697041
agentic,agg_4w,0.9,32,8000,128,4,49.68643023250022,259.176867,7.765317466677523,34.88097000000198,6.28549274845097,1035.8817485000052,1196.4148389999998,3947.8534651526465,30.84260519650505,0.89948,800,109.617833
agentic,agg_4w,0.9,128,8000,128,4,143.0267011562499,699.151624,11.114919610030121,88.47712000000001,14.907578470258576,1554.6214916300003,2127.3350640000026,9905.628055163832,77.38771918096744,0.89948,800,109.871916
agentic,3p_1d,0.2,8,8000,128,4,146.58868159249755,238.23129899998094,8.187123582300591,8.44454300000507,0.36905766259502304,1186.3533765450231,1269.4619829999992,861.9707003058868,6.734146096139741,0.19975,800,628.098625
agentic,3p_1d,0.2,32,8000,128,4,180.26612315499762,1228.0583510000001,14.816513789843997,15.5102650000008,0.773426439341474,2061.963374465,3089.0916299999985,1963.9624266889214,15.343456458507198,0.19975,800,606.302125
agentic,3p_1d,0.2,128,8000,128,4,2699.4100149975075,5493.998323000003,23.630928513690662,25.322831000001315,2.6946686222596377,5700.5379362362755,8434.647700999994,2727.7926731806106,21.31088025922352,0.19975,800,665.315667
agentic,3p_1d,0.6,8,8000,128,4,84.80016871499033,143.63687500000015,7.245469048864022,7.335469000001467,0.15971823412618344,1004.9747379200033,1063.0936520000073,1017.7157809040241,7.950904538312688,0.59925,800,381.603125
agentic,3p_1d,0.6,32,8000,128,4,109.57288326750067,713.0517950000003,10.83598140932329,11.153009000001475,0.38585675427363597,1485.7425222512652,2078.760057999998,2730.1615037915276,21.32938674837131,0.59925,800,493.536916
agentic,3p_1d,0.6,128,8000,128,4,469.59392136375027,2923.526188,21.595641686661192,23.2488400000002,2.8335028639877153,3212.2404155700083,5644.952182000001,4897.028492321469,38.25803509626147,0.59925,800,402.119125
agentic,3p_1d,0.9,8,8000,128,4,39.93399807749785,57.40907299999935,6.4543602886815865,6.476860000002489,0.03240084733716853,859.6377547399193,876.805644000015,1190.5292299957089,9.301009609341476,0.90287,800,253.72079199999996
agentic,3p_1d,0.9,32,8000,128,4,61.44674540374954,340.139712,7.4490809248400875,7.559162999999899,0.11961201853327892,1007.4800228587728,1286.7781049999983,4038.88218516632,31.553767071611876,0.90287,800,308.819626
agentic,3p_1d,0.9,128,8000,128,4,148.77646791374988,843.1693300000003,11.075955563269087,11.589718000000175,0.7764233343235347,1555.4228244487504,2272.504578,9931.506885585697,77.58989754363826,0.90287,800,220.370542
agentic,2p_2d,0.2,8,8000,128,4,145.97349222000025,175.287483,6.988707067483931,7.146197000001848,0.1691393093964073,1033.5392897899644,1035.5173469999988,988.6672803895859,7.72396312804364,0.1995,800,568.4936670000001
agentic,2p_2d,0.2,32,8000,128,4,1042.0902107999927,1707.518253999998,8.50202628531414,8.753990999997768,0.28039219296744683,2121.8475490337287,2778.4224110000023,1897.9455101426338,14.827699297989327,0.1995,800,709.905917
agentic,2p_2d,0.2,128,8000,128,4,6904.635377132487,8129.443984000082,8.502026285314036,8.753990999997768,0.28039219296746004,7984.39271536622,9216.169927000012,1897.9455101426338,14.827699297989327,0.1995,800,736.8216669999999
agentic,2p_2d,0.6,8,8000,128,4,138.9288219974931,175.287483,6.609357131377492,6.665231999999378,0.11720339194371233,978.3171776825243,1006.3578889999966,1043.958474789306,8.155925584291452,0.5985,800,412.774417
agentic,2p_2d,0.6,32,8000,128,4,166.2842799974951,1025.7053979999998,8.314605781608401,8.629188000000795,0.22331836623564938,1222.2392142624462,2080.5180249999985,3303.4199356539066,25.807968247296145,0.5985,800,422.982333
agentic,2p_2d,0.6,128,8000,128,4,2991.9015785475426,4243.329413000004,8.753432814096929,8.953037000000222,0.31446992494784254,4103.587545937557,5363.354935000002,3715.0300265946403,29.023672082770627,0.5985,800,333.954667
agentic,2p_2d,0.9,8,8000,128,4,60.24025660500157,61.688773000001675,6.284693405226494,6.2943710000035935,0.01755821898200111,858.3963190674992,860.0030839999781,1190.0727410960096,9.297443289812575,0.90174,800,256.74016700000004
agentic,2p_2d,0.9,32,8000,128,4,99.96934680500384,417.56433900000013,6.765674360767471,6.840033000000403,0.09499444506544033,959.2099906225151,1277.4437050000006,4246.877935120611,33.178733868129775,0.90174,800,215.452708
agentic,2p_2d,0.9,128,8000,128,4,194.0468077424997,1148.9267519999999,8.548473637923816,8.8162769999999,0.39103014744468645,1279.7029597587502,2249.4177609999997,12060.740693784997,94.22453667019529,0.90174,800,224.830292
agentic,1p_3d,0.2,8,8000,128,4,216.6806578162813,342.13482000000135,6.578812250130909,6.820638999997755,0.18604815508076383,1052.1898135838937,1150.2450810000012,969.1361106228289,7.571375864240851,0.19975,800,729.047501
agentic,1p_3d,0.2,32,8000,128,4,3348.381705644967,3437.550718999987,6.5863502852108,6.820638999999574,0.1960817852213213,4184.848191867558,4286.391081000015,960.969351821402,7.507573061104703,0.19975,800,591.409333
agentic,1p_3d,0.2,128,8000,128,4,14888.607614498893,16114.298933999922,6.587132065348353,6.820638999997755,0.19267748855230107,15725.173386798982,16965.183105000287,960.7755985950473,7.506059364023807,0.19975,800,583.509959
agentic,1p_3d,0.6,8,8000,128,4,83.17233551875637,206.91866000000118,6.4212206510279035,6.496377000003122,0.09111966829323767,898.6673581988404,1025.9983470000045,1134.8159590273838,8.865749679901436,0.59925,800,410.29474999999996
agentic,1p_3d,0.6,32,8000,128,4,1258.6935270700462,1702.904952999996,6.742436185473705,6.998164999997243,0.14366335662538537,2114.98292262508,2558.912558999995,1903.349328145386,14.869916626135828,0.59925,800,385.098208
agentic,1p_3d,0.6,128,8000,128,4,7097.26862902031,8128.972723999971,6.744002932029081,6.994943000001513,0.1474647769839199,7953.7570013878585,8988.93844899996,1902.1343180332483,14.860424359634752,0.59925,800,332.123542
agentic,1p_3d,0.9,8,8000,128,4,41.01126537999808,99.94173000000069,6.229210005954485,6.248655000003055,0.0217807228341702,832.1209361363415,892.3805260000042,1228.0634185059519,9.594245457077749,0.90287,800,316.648667
agentic,1p_3d,0.9,32,8000,128,4,75.14841461125052,580.1472240000003,6.551119039666011,6.603595000000041,0.04466184914566302,907.1405326487517,1409.520853,4430.839241394962,34.61593157339814,0.90287,800,269.21050099999997
agentic,1p_3d,0.9,128,8000,128,4,1176.000098190002,2122.7712020000035,6.910591053001821,7.078667000000223,0.12020363134263051,2053.6451619212485,2994.632512000014,7452.196540945305,58.220285476135196,0.90287,800,191.013958
